location_id,vector_id,water,vegetation,temperature,elevation,erosion,scale,density,built,tech,light,fauna,weirdness,sound,dynamic
1,1,2.1,0.4,0.1,1.0,2.6,2.4,2.6,0.3,2.5,1.2,2.3,3.0,2.3,1.6
2,2,2.8,1.1,0.9,0.0,1.0,2.9,0.4,2.8,1.5,2.4,1.5,0.1,2.2,2.5
3,0,0.8,2.5,2.1,1.3,0.8,2.0,2.3,0.2,1.2,0.3,2.7,1.3,2.6,2.6
4,3,1.1,1.5,1.1,2.6,0.5,1.9,1.4,2.5,2.1,0.6,2.4,2.6,1.5,1.2
5,6,2.6,2.4,2.0,2.2,0.7,1.2,2.8,2.9,2.3,2.3,0.2,2.4,0.5,1.1
6,5,0.8,2.1,0.2,0.7,2.4,0.2,2.6,2.2,1.1,2.6,1.7,1.3,0.0,0.4
7,4,1.9,2.8,0.4,1.1,0.7,0.1,1.2,1.9,1.1,0.1,3.0,1.6,1.0,2.1
8,7,1.3,2.2,2.8,0.5,1.3,1.0,1.3,1.4,1.9,0.5,0.2,1.4,0.2,1.4
9,8,2.3,1.2,2.4,0.6,2.9,2.1,1.3,0.4,0.0,2.3,1.6,0.5,2.0,0.8
10,9,2.2,2.4,2.2,2.5,0.3,0.7,1.7,2.7,1.6,2.1,1.1,1.5,1.4,2.4
11,10,2.4,2.7,0.5,2.1,3.0,2.4,0.6,0.5,1.8,1.4,2.4,2.7,1.6,2.8
12,11,1.2,2.3,1.6,2.6,2.8,2.4,0.5,0.6,1.1,1.6,1.3,1.5,2.7,2.9
13,12,2.9,1.8,2.5,2.4,0.4,1.7,1.6,1.6,0.6,1.1,1.2,1.8,1.3,1.1
14,13,1.4,1.7,0.6,2.1,0.8,1.5,1.0,2.3,1.4,2.2,2.1,1.3,0.8,0.0
15,14,2.7,0.7,0.5,0.3,2.8,2.0,2.9,0.2,0.8,0.4,1.3,0.3,0.4,2.8
16,15,2.6,1.2,2.5,0.5,1.1,0.5,0.6,2.7,1.2,2.9,0.3,0.1,2.1,1.7
17,17,2.7,0.2,0.2,1.6,1.0,2.9,0.1,0.6,2.0,2.0,1.5,0.9,2.9,0.4
18,16,0.0,1.5,2.8,1.0,2.1,0.5,0.4,2.1,1.0,0.6,0.0,0.6,1.5,2.4
19,18,1.2,2.5,2.1,2.8,2.2,0.6,0.0,2.6,2.3,1.5,1.6,2.0,2.6,1.0
20,19,0.3,0.6,1.2,2.6,2.6,2.4,2.0,0.9,1.3,1.8,2.9,2.7,0.5,0.2
21,20,2.6,0.7,1.9,1.6,1.1,1.3,1.2,1.1,0.3,0.6,0.7,2.6,3.0,2.7
22,21,2.0,1.6,2.9,2.0,1.4,0.8,1.1,0.9,2.6,1.9,1.4,2.5,0.9,1.6
23,22,0.6,2.3,1.7,1.2,0.9,2.5,0.1,1.5,2.9,0.7,2.2,2.2,2.8,1.8
24,23,2.5,0.6,0.0,1.9,2.3,1.3,2.5,1.7,0.8,3.0,2.5,2.1,0.4,2.9
25,24,0.4,1.4,2.3,0.8,1.8,1.2,1.2,0.1,0.9,0.2,0.5,0.2,0.3,0.3
26,25,1.2,0.2,1.1,1.2,2.0,1.8,2.4,0.1,0.4,0.4,2.9,1.8,2.7,1.5
27,26,1.6,1.3,0.3,0.1,1.3,1.6,1.4,2.7,2.4,1.1,1.0,1.5,1.8,1.9
28,27,0.1,3.0,0.6,2.4,2.6,1.8,0.8,1.5,2.8,1.0,1.8,2.5,2.5,1.9
29,30,1.6,0.9,1.6,1.5,0.1,0.9,0.7,1.4,2.8,1.3,1.9,2.0,1.9,2.4
30,28,0.3,1.9,2.2,1.4,1.8,0.4,0.3,2.5,1.4,2.6,0.8,1.9,2.9,1.6
31,29,0.4,0.1,2.7,2.2,0.3,0.0,2.9,0.1,2.0,0.5,1.8,0.4,2.4,0.8
32,32,0.4,1.3,1.0,0.6,2.1,0.4,3.0,2.9,0.5,2.8,0.4,0.8,2.5,0.2
33,31,2.4,1.5,1.6,2.3,0.8,2.2,1.0,1.7,0.7,1.9,0.3,0.1,0.3,0.5
34,33,0.2,0.5,0.7,2.8,2.1,2.5,0.2,2.1,0.1,1.4,1.4,2.9,0.3,2.5
35,34,1.9,1.0,1.3,1.5,1.5,2.8,1.8,1.9,0.4,2.2,1.1,0.5,0.2,2.1
36,35,0.2,0.7,1.8,0.3,1.2,1.0,2.0,0.7,1.7,0.9,1.9,2.2,2.0,0.3
37,36,1.3,2.6,2.6,0.2,0.0,1.9,2.2,1.3,0.2,2.9,0.8,1.2,1.3,0.1
38,37,1.0,0.8,1.4,0.4,0.2,0.2,0.8,0.8,0.5,2.6,2.4,2.9,0.5,2.0
39,38,2.1,2.7,2.0,2.0,2.7,2.6,1.6,1.3,0.1,1.0,1.7,2.0,1.1,1.2
40,39,1.7,1.4,0.4,2.9,0.3,1.6,0.2,0.0,2.5,1.2,2.3,0.3,1.1,2.0
41,41,1.2,1.6,2.6,0.3,1.7,1.3,2.1,1.0,0.3,0.8,2.5,1.0,0.2,1.9
42,40,0.9,1.2,1.4,1.9,1.1,1.7,2.4,2.8,2.2,2.7,2.0,2.8,0.6,1.4
43,42,3.0,2.9,1.3,2.0,1.9,1.1,0.9,2.3,1.0,1.7,2.3,0.9,2.3,0.8
44,45,0.1,0.5,2.3,2.9,0.1,2.2,1.0,1.2,0.2,0.4,0.2,0.6,1.2,2.8
45,44,2.3,2.7,2.4,1.2,1.9,0.7,1.9,1.9,2.1,1.6,0.6,0.2,1.8,0.9
46,43,0.7,1.1,1.9,0.5,2.4,1.2,2.5,3.0,0.7,1.5,1.8,0.6,2.5,2.2
47,46,0.5,1.8,2.7,2.1,0.2,0.4,0.7,0.4,2.4,2.4,0.4,2.8,1.2,0.9
48,47,0.5,0.8,1.4,2.7,3.0,2.7,0.3,1.1,2.8,2.0,0.9,1.1,0.1,3.0
49,49,1.7,0.4,2.0,0.6,1.5,2.9,3.0,2.4,2.9,2.1,1.5,1.1,2.7,2.9
50,50,2.8,1.3,1.2,2.5,0.4,0.3,0.3,1.4,0.6,2.5,1.3,2.2,2.8,2.7
51,48,1.8,0.2,2.7,0.9,2.2,1.5,0.2,2.2,2.2,1.2,2.6,0.0,1.0,1.8
52,51,2.2,1.6,1.1,0.8,2.5,2.2,2.0,0.5,2.7,0.9,1.0,2.6,2.0,1.6
53,52,1.0,2.1,1.7,0.9,0.6,2.3,1.2,2.5,3.0,0.8,1.2,2.4,1.1,1.5
54,53,1.0,0.0,0.3,2.7,1.9,0.8,1.7,0.6,1.2,2.7,0.3,0.9,0.7,1.7
55,54,2.2,0.2,0.1,1.7,0.5,1.7,1.9,2.0,2.6,0.1,2.7,1.4,2.2,0.6
56,55,3.0,2.4,0.5,1.2,2.8,2.6,1.6,2.6,0.8,0.2,0.4,0.2,0.8,0.6
57,56,1.8,2.9,0.0,0.4,0.2,0.6,1.8,0.5,2.9,0.9,2.2,2.3,1.9,1.0
58,57,2.9,1.9,0.8,0.7,1.4,0.1,2.6,0.8,0.2,0.2,0.9,2.6,0.8,1.1
59,58,0.6,1.0,2.9,0.2,0.6,0.6,2.2,2.4,1.6,1.3,0.1,0.7,1.4,2.2
60,59,2.5,2.8,0.7,1.5,1.7,1.1,2.3,1.8,1.3,1.8,2.8,0.5,2.1,2.6
61,60,1.6,2.9,1.8,1.4,1.5,1.4,2.7,1.3,1.8,1.8,0.6,2.3,1.6,1.4
62,62,0.9,2.5,1.0,1.8,0.9,1.5,2.3,1.2,2.3,2.9,0.7,1.7,0.0,0.7
63,61,1.5,0.1,0.6,0.1,2.2,0.1,1.8,1.7,0.9,0.7,1.2,1.2,2.3,0.4
64,64,0.1,2.0,0.9,2.7,1.7,0.3,2.8,0.9,1.6,0.7,0.1,1.7,1.7,0.1
65,63,0.5,0.3,2.6,1.8,1.6,1.4,2.8,1.0,0.4,0.3,2.9,1.8,0.9,2.2
66,65,0.6,0.9,1.0,3.0,2.0,1.8,0.5,0.3,0.8,2.8,2.2,0.8,2.9,0.3
67,66,1.7,0.3,1.5,1.6,2.5,2.6,1.5,2.3,1.9,2.3,2.7,0.8,1.7,0.8
68,67,1.8,0.5,2.4,0.9,1.2,2.8,2.1,3.0,2.1,2.5,2.6,1.6,1.3,0.2
69,68,0.8,2.0,1.3,1.3,0.9,0.9,0.9,1.6,1.7,2.5,2.0,1.0,2.4,1.3
70,69,2.0,1.8,1.7,1.7,2.3,2.8,2.1,1.1,2.5,0.0,2.0,2.0,2.1,2.1
